"popdata","keyformerge"
"Rangerville","rangerville"
"Rankin","rankin"
"Ransom Canyon","ransom canyon"
"Ravenna","ravenna"
"Raymondville","raymondville"
"Red Lick","red lick"
"Red Oak","red oak"
"Redwater","redwater"
"Refugio","refugio"
"Reklaw","reklaw"
"Reno (Lamar)","reno (lamar)"
"Reno (Parker)","reno (parker)"
"Retreat","retreat"
"Rhome","rhome"
"Rice","rice"
"Richardson","richardson"
"Richland","richland"
"Richland Hills","richland hills"
"Richland Springs","richland springs"
"Richmond","richmond"
"Richwood","richwood"
"Riesel","riesel"
"Rio Bravo","rio bravo"
"Rio Grande City","rio grande"
"Rio Hondo","rio hondo"
"Rio Vista","rio vista"
"Rising Star","rising star"
"River Oaks","river oaks"
"Riverside","riverside"
"Road Runner","road runner"
"Roanoke","roanoke"
"Roaring Springs","roaring springs"
"Robert Lee","robert lee"
"Robinson","robinson"
"Robstown","robstown"
"Roby","roby"
"Rochester","rochester"
"Rockdale","rockdale"
"Rockport","rockport"
"Rocksprings","rocksprings"
"Rockwall","rockwall"
"Rocky Mound","rocky mound"
"Rogers","rogers"
"Rollingwood","rollingwood"
"Roma","roma"
"Roman Forest","roman forest"
"Ropesville","ropesville"
"Roscoe","roscoe"
"Rose City","rose"
"Rose Hill Acres","rose hill acres"
"Rosebud","rosebud"
"Rosenberg","rosenberg"
"Ross","ross"
"Rosser","rosser"
"Rotan","rotan"
"Round Mountain","round mountain"
"Round Rock","round rock"
"Round Top","round top"
"Rowlett","rowlett"
"Roxton","roxton"
"Royse City","royse"
"Rule","rule"
"Runaway Bay","runaway bay"
"Runge","runge"
"Rusk","rusk"
"Sabinal","sabinal"
"Sachse","sachse"
"Sadler","sadler"
"Saginaw","saginaw"
"Salado","salado"
"San Angelo","san angelo"
"San Antonio","san antonio"
"San Augustine","san augustine"
"San Benito","san benito"
"San Diego","san diego"
"San Elizario","san elizario"
"San Felipe","san felipe"
"San Juan","san juan"
"San Leanna","san leanna"
"San Marcos","san marcos"
"San Patricio","san patricio"
"San Perlita","san perlita"
"San Saba","san saba"
"Sanctuary","sanctuary"
"Sandy Oaks","sandy oaks"
"Sandy Point","sandy point"
"Sanford","sanford"
